    ,0
220 ,Breaking the Waves (1996) Drama
221 ,Star Trek: First Contact (1996) Action Adventure Sci-Fi
222 ,Sling Blade (1996) Drama Thriller
223 ,Ridicule (1996) Drama
224 ,101 Dalmatians (1996) Children's Comedy
225 ,Die Hard 2 (1990) Action Thriller
226 ,Star Trek VI: The Undiscovered Country (1991) Action Adventure Sci-Fi
227 ,Star Trek: The Wrath of Khan (1982) Action Adventure Sci-Fi
228 ,Star Trek III: The Search for Spock (1984) Action Adventure Sci-Fi
229 ,Star Trek IV: The Voyage Home (1986) Action Adventure Sci-Fi
230 ,Batman Returns (1992) Action Adventure Comedy Crime
231 ,Young Guns (1988) Action Comedy Western
232 ,Under Siege (1992) Action
233 ,Jaws (1975) Action Horror
234 ,Mars Attacks! (1996) Action Comedy Sci-Fi War
235 ,Citizen Ruth (1996) Comedy Drama
236 ,Jerry Maguire (1996) Drama Romance
237 ,Raising Arizona (1987) Comedy
238 ,Sneakers (1992) Crime Drama Sci-Fi
239 ,Beavis and Butt-head Do America (1996) Animation Comedy
240 ,Last of the Mohicans                                                                  ,The (1992) Action Romance War
241 ,Kolya (1996) Comedy
242 ,Jungle2Jungle (1997) Children's Comedy
243 ,Smilla's Sense of Snow (1997) Action Drama Thriller
244 ,Devil's Own                                                                           ,The (1997) Action Drama Thriller War
245 ,Chasing Amy (1997) Drama Romance
246 ,Turbo: A Power Rangers Movie (1997) Action Adventure Children's
247 ,Grosse Pointe Blank (1997) Comedy Crime
248 ,Austin Powers: International Man of Mystery (1997) Comedy
249 ,Fifth Element                                                                         ,The (1997) Action Sci-Fi
250 ,Shall We Dance? (1996) Comedy
251 ,Lost World: Jurassic Park                                                             ,The (1997) Action Adventure Sci-Fi Thriller
252 ,Pillow Book                                                                           ,The (1995) Drama Romance
253 ,Batman & Robin (1997) Action Adventure Crime
254 ,My Best Friend's Wedding (1997) Comedy Romance
255 ,When the Cats Away (Chacun cherche son chat) (1996) Comedy Romance
256 ,Men in Black (1997) Action Adventure Comedy Sci-Fi
257 ,Contact (1997) Drama Sci-Fi
258 ,George of the Jungle (1997) Children's Comedy
259 ,Event Horizon (1997) Action Mystery Sci-Fi Thriller
260 ,Air Bud (1997) Children's Comedy
261 ,In the Company of Men (1997) Drama
262 ,Steel (1997) Action
263 ,Mimic (1997) Sci-Fi Thriller
264 ,Hunt for Red October                                                                  ,The (1990) Action Thriller
265 ,Kull the Conqueror (1997) Action Adventure
266 ,unknown unknown
267 ,Chasing Amy (1997) Drama Romance
268 ,Full Monty                                                                            ,The (1997) Comedy
269 ,Gattaca (1997) Drama Sci-Fi Thriller
270 ,Starship Troopers (1997) Action Adventure Sci-Fi War
271 ,Good Will Hunting (1997) Drama
272 ,Heat (1995) Action Crime Thriller
273 ,Sabrina (1995) Comedy Romance
274 ,Sense and Sensibility (1995) Drama Romance
275 ,Leaving Las Vegas (1995) Drama Romance
276 ,Restoration (1995) Drama
277 ,Bed of Roses (1996) Drama Romance
278 ,Once Upon a Time... When We Were Colored (1995) Drama
279 ,Up Close and Personal (1996) Drama Romance
280 ,River Wild                                                                            ,The (1994) Action Thriller
281 ,Time to Kill                                                                          ,A (1996) Drama
282 ,Emma (1996) Drama Romance
283 ,Tin Cup (1996) Comedy Romance
284 ,Secrets & Lies (1996) Drama
285 ,English Patient                                                                       ,The (1996) Drama Romance War
286 ,Marvin's Room (1996) Drama
287 ,Scream (1996) Horror Thriller
288 ,Evita (1996) Drama Musical
289 ,Fierce Creatures (1997) Comedy
290 ,Absolute Power (1997) Mystery Thriller
291 ,Rosewood (1997) Drama
292 ,Donnie Brasco (1997) Crime Drama
293 ,Liar Liar (1997) Comedy
294 ,Breakdown (1997) Action Thriller
295 ,Promesse                                                                              ,La (1996) Drama
296 ,Ulee's Gold (1997) Drama
297 ,Face/Off (1997) Action Sci-Fi Thriller
298 ,Hoodlum (1997) Crime Drama Film-Noir
299 ,Air Force One (1997) Action Thriller
300 ,In & Out (1997) Comedy
301 ,L.A. Confidential (1997) Crime Film-Noir Mystery Thriller
302 ,Ulee's Gold (1997) Drama
303 ,Fly Away Home (1996) Adventure Children's
304 ,Ice Storm                                                                             ,The (1997) Drama
305 ,Mrs. Brown (Her Majesty                                                               ,Mrs. Brown) (1997) Drama Romance
306 ,Devil's Advocate                                                                      ,The (1997) Crime Horror Mystery Thriller
307 ,FairyTale: A True Story (1997) Children's Drama Fantasy
308 ,Deceiver (1997) Crime
309 ,Rainmaker                                                                             ,The (1997) Drama
310 ,Wings of the Dove                                                                     ,The (1997) Drama Romance Thriller
311 ,Midnight in the Garden of Good and Evil (1997) Comedy Crime Drama Mystery
312 ,Titanic (1997) Action Drama Romance
313 ,3 Ninjas: High Noon At Mega Mountain (1998) Action Children's
314 ,Apt Pupil (1998) Drama Thriller
315 ,As Good As It Gets (1997) Comedy Drama
316 ,In the Name of the Father (1993) Drama
317 ,Schindler's List (1993) Drama War
318 ,Everyone Says I Love You (1996) Comedy Musical Romance
319 ,Paradise Lost: The Child Murders at Robin Hood Hills (1996) Documentary
320 ,Mother (1996) Comedy
321 ,Murder at 1600 (1997) Mystery Thriller
322 ,Dante's Peak (1997) Action Thriller
323 ,Lost Highway (1997) Mystery
324 ,Crash (1996) Drama Thriller
325 ,G.I. Jane (1997) Action Drama War
326 ,Cop Land (1997) Crime Drama Mystery
327 ,Conspiracy Theory (1997) Action Mystery Romance Thriller
328 ,Desperate Measures (1998) Crime Drama Thriller
329 ,187 (1997) Drama
330 ,Edge                                                                                  ,The (1997) Adventure Thriller
331 ,Kiss the Girls (1997) Crime Drama Thriller
332 ,Game                                                                                  ,The (1997) Mystery Thriller
333 ,U Turn (1997) Action Crime Mystery
334 ,How to Be a Player (1997) Comedy
335 ,Playing God (1997) Crime Thriller
336 ,House of Yes                                                                          ,The (1997) Comedy Drama Thriller
337 ,Bean (1997) Comedy
338 ,Mad City (1997) Action Drama
339 ,Boogie Nights (1997) Drama
340 ,Critical Care (1997) Comedy
341 ,Man Who Knew Too Little                                                               ,The (1997) Comedy Mystery
342 ,Alien: Resurrection (1997) Action Horror Sci-Fi
343 ,Apostle                                                                               ,The (1997) Drama
344 ,Deconstructing Harry (1997) Comedy Drama
345 ,Jackie Brown (1997) Crime Drama
346 ,Wag the Dog (1997) Comedy Drama
347 ,Desperate Measures (1998) Crime Drama Thriller
348 ,Hard Rain (1998) Action Thriller
349 ,Fallen (1998) Action Mystery Thriller
350 ,Prophecy II                                                                           ,The (1998) Horror
351 ,Spice World (1997) Comedy Musical
352 ,Deep Rising (1998) Action Horror Sci-Fi
353 ,Wedding Singer                                                                        ,The (1998) Comedy Romance
354 ,Sphere (1998) Adventure Sci-Fi Thriller
355 ,Client                                                                                ,The (1994) Drama Mystery Thriller
356 ,One Flew Over the Cuckoo's Nest (1975) Drama
357 ,Spawn (1997) Action Adventure Sci-Fi Thriller
358 ,Assignment                                                                            ,The (1997) Thriller
359 ,Wonderland (1997) Documentary
360 ,Incognito (1997) Crime Thriller
361 ,Blues Brothers 2000 (1998) Action Comedy Musical
362 ,Sudden Death (1995) Action
363 ,Ace Ventura: When Nature Calls (1995) Comedy
364 ,Powder (1995) Drama
365 ,Dangerous Minds (1995) Drama
366 ,Clueless (1995) Comedy
367 ,Bio-Dome (1996) Comedy
368 ,Black Sheep (1996) Comedy
369 ,Mary Reilly (1996) Drama Thriller
370 ,Bridges of Madison County                                                             ,The (1995) Drama Romance
371 ,Jeffrey (1995) Comedy
372 ,Judge Dredd (1995) Action Adventure Sci-Fi
373 ,Mighty Morphin Power Rangers: The Movie (1995) Action Children's
374 ,Showgirls (1995) Drama
375 ,Houseguest (1994) Comedy
376 ,Heavyweights (1994) Children's Comedy
377 ,Miracle on 34th Street (1994) Drama
378 ,Tales From the Crypt Presents: Demon Knight (1995) Horror
379 ,Star Trek: Generations (1994) Action Adventure Sci-Fi
380 ,Muriel's Wedding (1994) Comedy Romance
381 ,Adventures of Priscilla                                                               ,Queen of the Desert                                                 ,The (1994) Comedy Drama
382 ,Flintstones                                                                           ,The (1994) Children's Comedy
383 ,Naked Gun 33 1/3: The Final Insult (1994) Comedy
384 ,True Lies (1994) Action Adventure Comedy Romance
385 ,Addams Family Values (1993) Comedy
386 ,Age of Innocence                                                                      ,The (1993) Drama
387 ,Beverly Hills Cop III (1994) Action Comedy
388 ,Black Beauty (1994) Adventure Children's
389 ,Fear of a Black Hat (1993) Comedy
390 ,Last Action Hero (1993) Action Comedy
391 ,Man Without a Face                                                                    ,The (1993) Drama
392 ,Mrs. Doubtfire (1993) Comedy
393 ,Radioland Murders (1994) Comedy Mystery Romance
394 ,Robin Hood: Men in Tights (1993) Comedy
395 ,Serial Mom (1994) Comedy Crime Horror
396 ,Striking Distance (1993) Action
397 ,Super Mario Bros. (1993) Action Adventure Children's Sci-Fi
398 ,Three Musketeers                                                                      ,The (1993) Action Adventure Comedy
399 ,Little Rascals                                                                        ,The (1994) Children's Comedy
400 ,Brady Bunch Movie                                                                     ,The (1995) Comedy
401 ,Ghost (1990) Comedy Romance Thriller
402 ,Batman (1989) Action Adventure Crime Drama
403 ,Pinocchio (1940) Animation Children's
404 ,Mission: Impossible (1996) Action Adventure Mystery
405 ,Thinner (1996) Horror Thriller
406 ,Spy Hard (1996) Comedy
407 ,Close Shave                                                                           ,A (1995) Animation Comedy Thriller
408 ,Jack (1996) Comedy Drama
409 ,Kingpin (1996) Comedy
410 ,Nutty Professor                                                                       ,The (1996) Comedy Fantasy Romance Sci-Fi
411 ,Very Brady Sequel                                                                     ,A (1996) Comedy
412 ,Tales from the Crypt Presents: Bordello of Blood (1996) Horror
413 ,My Favorite Year (1982) Comedy
414 ,Apple Dumpling Gang                                                                   ,The (1975) Children's Comedy Western
415 ,Old Yeller (1957) Children's Drama
416 ,Parent Trap                                                                           ,The (1961) Children's Drama
417 ,Cinderella (1950) Animation Children's Musical
418 ,Mary Poppins (1964) Children's Comedy Musical
419 ,Alice in Wonderland (1951) Animation Children's Musical
420 ,William Shakespeare's Romeo and Juliet (1996) Drama Romance
421 ,Aladdin and the King of Thieves (1996) Animation Children's Comedy
422 ,E.T. the Extra-Terrestrial (1982) Children's Drama Fantasy Sci-Fi
423 ,Children of the Corn: The Gathering (1996) Horror
424 ,Bob Roberts (1992) Comedy
425 ,Transformers: The Movie                                                               ,The (1986) Action Animation Children's Sci-Fi Thriller War
426 ,To Kill a Mockingbird (1962) Drama
427 ,Harold and Maude (1971) Comedy
428 ,Day the Earth Stood Still                                                             ,The (1951) Drama Sci-Fi
429 ,Duck Soup (1933) Comedy War
430 ,Highlander (1986) Action Adventure
431 ,Fantasia (1940) Animation Children's Musical
432 ,Heathers (1989) Comedy
433 ,Forbidden Planet (1956) Sci-Fi
434 ,Butch Cassidy and the Sundance Kid (1969) Action Comedy Western
435 ,American Werewolf in London                                                           ,An (1981) Horror
436 ,Amityville 1992: It's About Time (1992) Horror
437 ,Amityville 3-D (1983) Horror
438 ,Amityville: A New Generation (1993) Horror
439 ,Amityville II: The Possession (1982) Horror
440 ,Amityville Horror                                                                     ,The (1979) Horror
441 ,Amityville Curse                                                                      ,The (1990) Horror
442 ,Birds                                                                                 ,The (1963) Horror
443 ,Blob                                                                                  ,The (1958) Horror Sci-Fi
444 ,Body Snatcher                                                                         ,The (1945) Horror
445 ,Burnt Offerings (1976) Horror
446 ,Carrie (1976) Horror
447 ,Omen                                                                                  ,The (1976) Horror
448 ,Star Trek: The Motion Picture (1979) Action Adventure Sci-Fi
449 ,Star Trek V: The Final Frontier (1989) Action Adventure Sci-Fi
450 ,Grease (1978) Comedy Musical Romance
451 ,Jaws 2 (1978) Action Horror
452 ,Jaws 3-D (1983) Action Horror
453 ,Bastard Out of Carolina (1996) Drama
454 ,Jackie Chan's First Strike (1996) Action
455 ,Beverly Hills Ninja (1997) Action Comedy
456 ,Free Willy 3: The Rescue (1997) Adventure Children's Drama
457 ,Nixon (1995) Drama
458 ,Cry                                                                                   ,the Beloved Country (1995) Drama
459 ,Crossing Guard                                                                        ,The (1995) Drama
460 ,Smoke (1995) Drama
461 ,Like Water For Chocolate (Como agua para chocolate) (1992) Drama Romance
462 ,Secret of Roan Inish                                                                  ,The (1994) Adventure
463 ,Vanya on 42nd Street (1994) Drama
464 ,Jungle Book                                                                           ,The (1994) Adventure Children's Romance
465 ,Red Rock West (1992) Thriller
466 ,Bronx Tale                                                                            ,A (1993) Drama
467 ,Rudy (1993) Drama
468 ,Short Cuts (1993) Drama
469 ,Tombstone (1993) Western
470 ,Courage Under Fire (1996) Drama War
471 ,Dragonheart (1996) Action Adventure Fantasy
472 ,James and the Giant Peach (1996) Animation Children's Musical
473 ,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963) Sci-Fi War
474 ,Trainspotting (1996) Drama
475 ,First Wives Club                                                                      ,The (1996) Comedy
476 ,Matilda (1996) Children's Comedy
477 ,Philadelphia Story                                                                    ,The (1940) Comedy Romance
478 ,Vertigo (1958) Mystery Thriller
479 ,North by Northwest (1959) Comedy Thriller
480 ,Apartment                                                                             ,The (1960) Comedy Drama
481 ,Some Like It Hot (1959) Comedy Crime
482 ,Casablanca (1942) Drama Romance War
483 ,Maltese Falcon                                                                        ,The (1941) Film-Noir Mystery
484 ,My Fair Lady (1964) Musical Romance
485 ,Sabrina (1954) Comedy Romance
486 ,Roman Holiday (1953) Comedy Romance
487 ,Sunset Blvd. (1950) Film-Noir
488 ,Notorious (1946) Film-Noir Romance Thriller
489 ,To Catch a Thief (1955) Comedy Romance Thriller
490 ,Adventures of Robin Hood                                                              ,The (1938) Action Adventure
491 ,East of Eden (1955) Drama
492 ,Thin Man                                                                              ,The (1934) Mystery
493 ,His Girl Friday (1940) Comedy
494 ,Around the World in 80 Days (1956) Adventure Comedy
495 ,It's a Wonderful Life (1946) Drama
496 ,Bringing Up Baby (1938) Comedy
497 ,African Queen                                                                         ,The (1951) Action Adventure Romance War
498 ,Cat on a Hot Tin Roof (1958) Drama
499 ,Fly Away Home (1996) Adventure Children's
500 ,Dumbo (1941) Animation Children's Musical
501 ,Bananas (1971) Comedy War
502 ,Candidate                                                                             ,The (1972) Drama
503 ,Bonnie and Clyde (1967) Crime Drama
504 ,Dial M for Murder (1954) Mystery Thriller
505 ,Rebel Without a Cause (1955) Drama
506 ,Streetcar Named Desire                                                                ,A (1951) Drama
507 ,People vs. Larry Flynt                                                                ,The (1996) Drama
508 ,My Left Foot (1989) Drama
509 ,Magnificent Seven                                                                     ,The (1954) Action Drama Western
510 ,Lawrence of Arabia (1962) Adventure War
511 ,Wings of Desire (1987) Comedy Drama Romance
512 ,Third Man                                                                             ,The (1949) Mystery Thriller
513 ,Annie Hall (1977) Comedy Romance
514 ,Boot                                                                                  ,Das (1981) Action Drama War
515 ,Local Hero (1983) Comedy
516 ,Manhattan (1979) Comedy Drama Romance
517 ,Miller's Crossing (1990) Drama
518 ,Treasure of the Sierra Madre                                                          ,The (1948) Adventure
519 ,Great Escape                                                                          ,The (1963) Adventure War
520 ,Deer Hunter                                                                           ,The (1978) Drama War
521 ,Down by Law (1986) Comedy Drama
522 ,Cool Hand Luke (1967) Comedy Drama
523 ,Great Dictator                                                                        ,The (1940) Comedy
524 ,Big Sleep                                                                             ,The (1946) Film-Noir Mystery
525 ,Ben-Hur (1959) Action Adventure Drama
526 ,Gandhi (1982) Drama
527 ,Killing Fields                                                                        ,The (1984) Drama War
528 ,My Life as a Dog (Mitt liv som hund) (1985) Drama
529 ,Man Who Would Be King                                                                 ,The (1975) Adventure
530 ,Shine (1996) Drama Romance
531 ,Kama Sutra: A Tale of Love (1996) Romance
532 ,Daytrippers                                                                           ,The (1996) Mystery
533 ,Traveller (1997) Drama
534 ,Addicted to Love (1997) Comedy Romance
535 ,Ponette (1996) Drama
536 ,My Own Private Idaho (1991) Drama
537 ,Anastasia (1997) Animation Children's Musical
538 ,Mouse Hunt (1997) Children's Comedy
539 ,Money Train (1995) Action
540 ,Mortal Kombat (1995) Action Adventure
541 ,Pocahontas (1995) Animation Children's Musical Romance
542 ,Mis rables                                                                            ,Les (1995) Drama Musical
543 ,Things to Do in Denver when You're Dead (1995) Crime Drama Romance
