,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
54,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
55,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
56,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
57,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
58,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
59,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
60,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
61,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
62,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
63,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
64,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
65,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
66,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
67,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
68,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
69,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
70,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
71,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
72,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
73,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
74,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
75,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
76,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
77,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
78,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
79,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
80,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
81,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
82,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
83,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
84,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
85,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
86,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
87,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
88,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
89,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
90,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
91,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
92,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
93,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
94,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
95,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
96,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
97,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
98,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
99,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
100,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
101,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
102,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
103,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
104,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
105,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
106,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
107,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
108,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
109,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
110,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
111,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
112,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
113,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
114,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
115,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
116,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
117,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
118,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
119,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
120,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
121,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
122,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1
123,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
124,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
125,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
126,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
127,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
128,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
129,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
130,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
131,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
132,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
133,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
134,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
135,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
136,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
137,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
138,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
139,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
140,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
141,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
142,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
143,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
144,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
145,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
146,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
147,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
148,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
149,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
150,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
151,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
152,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
153,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
154,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
155,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
156,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
157,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
158,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
159,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
160,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
161,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
162,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
163,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
164,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
165,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
166,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
167,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
168,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
169,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
170,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
171,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
172,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
173,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
174,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
175,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
176,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0
177,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
178,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
179,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
180,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
181,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
182,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1
183,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
184,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
185,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
186,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
187,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
188,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
189,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
190,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
191,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
192,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
193,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
194,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
195,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
196,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
197,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
198,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
199,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
200,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
201,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
202,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
203,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
204,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
205,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
206,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
207,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
208,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
209,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
210,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
211,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
212,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
213,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
214,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1
215,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
216,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
217,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
218,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1
219,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
220,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
221,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
222,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
223,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
224,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
225,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
226,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
227,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
228,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
229,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
230,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
231,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
232,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
233,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
234,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
235,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
236,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
237,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
238,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
239,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
240,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
241,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
242,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
243,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
244,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
245,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
246,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
247,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
248,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
249,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
250,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
251,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
252,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
253,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
254,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1
255,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
256,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
257,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
258,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
259,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
260,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
261,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
262,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
263,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
264,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
265,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
266,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
267,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
268,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0
269,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
270,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1
271,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
272,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
273,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
274,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
275,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
276,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
277,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
278,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
279,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
280,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
281,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
282,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
283,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
284,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0
285,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
286,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
287,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
288,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
289,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
290,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
291,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
292,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
293,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
294,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
295,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
296,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
297,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
298,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
299,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
300,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
301,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
302,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
303,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
304,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
305,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
306,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
307,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
308,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
309,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
310,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
311,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
312,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
313,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
314,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
315,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
