,0
144, Action Sci-Fi Thriller 1992
145, Drama 1996
146, Action Thriller 1996
147, Action Adventure 1996
148, Drama 1996
149, Comedy Drama 1996
150, Adventure Children's Comedy 1971
151, Comedy Sci-Fi 1973
152, Comedy 1988
153, Comedy 1979
154, Musical Romance 1987
155, Crime Thriller 1992
156, Drama War 1986
157, Comedy 1989
158, Mystery Thriller 1992
159, Drama 1992
160, Action Romance 1986
161, Drama 1981
162, Comedy 1974
163, Action Adventure Sci-Fi Thriller 1989
164, Drama 1986
165, Drama 1986
166, Comedy 1980
167, Comedy 1974
168, Animation Comedy 1993
169, Comedy Drama Romance 1988
170, Comedy Sci-Fi 1991
171, Action Adventure Drama Romance Sci-Fi War 1980
172, Action Adventure Comedy Romance 1987
173, Action Adventure 1981
174, Sci-Fi 1985
175, Action Sci-Fi Thriller War 1986
176, Action Western 1966
177, Drama 1957
178, Sci-Fi 1971
179, Drama War 1979
180, Action Adventure Romance Sci-Fi War 1983
181, Crime Drama 1990
182, Action Horror Sci-Fi Thriller 1979
183, Action Adventure Comedy Horror Sci-Fi 1993
184, Horror Romance Thriller 1960
185, Action Comedy Musical 1980
186, Action Crime Drama 1974
187, Action Drama War 1987
188, Animation Comedy 1992
189, Drama War 1989
190, Drama Mystery 1984
191, Drama 1980
192, Drama 1983
193, Comedy Crime 1973
194, Action Sci-Fi Thriller 1984
195, Drama 1989
196, Drama Romance 1967
197, Thriller 1990
198, Drama War 1957
199, Horror 1980
200, Action Adventure Comedy Horror 1987
201, Comedy Romance 1993
202, Western 1992
203, Comedy Sci-Fi 1985
204, Drama War 1970
205, Adventure Animation Sci-Fi Thriller 1988
206, Action Drama Romance 1990
207, Comedy Horror 1974
208, Comedy Drama Musical 1984
209, Action Adventure 1989
210, Comedy War 1970
211, Drama 1988
212, Drama Romance 1986
213, Drama Musical War 1982
214, Drama 1989
215, Comedy Romance 1989
216, Horror Romance 1992
217, Thriller 1991
218, Horror 1984
219, Comedy Romance 1996
220, Drama 1996
221, Action Adventure Sci-Fi 1996
222, Drama Thriller 1996
223, Drama 1996
224, Children's Comedy 1996
225, Action Thriller 1990
226, Action Adventure Sci-Fi 1991
227, Action Adventure Sci-Fi 1982
228, Action Adventure Sci-Fi 1984
229, Action Adventure Sci-Fi 1986
230, Action Adventure Comedy Crime 1992
231, Action Comedy Western 1988
232, Action 1992
233, Action Horror 1975
234, Action Comedy Sci-Fi War 1996
235, Comedy Drama 1996
236, Drama Romance 1996
237, Comedy 1987
238, Crime Drama Sci-Fi 1992
239, Animation Comedy 1996
240, Action Romance War 1992
241, Comedy 1996
242, Children's Comedy 1997
243, Action Drama Thriller 1997
244, Action Drama Thriller War 1997
245, Drama Romance 1997
246, Action Adventure Children's 1997
247, Comedy Crime 1997
248, Comedy 1997
249, Action Sci-Fi 1997
250, Comedy 1996
251, Action Adventure Sci-Fi Thriller 1997
252, Drama Romance 1995
253, Action Adventure Crime 1997
254, Comedy Romance 1997
255, Comedy Romance 1996
256, Action Adventure Comedy Sci-Fi 1997
257, Drama Sci-Fi 1997
258, Children's Comedy 1997
259, Action Mystery Sci-Fi Thriller 1997
260, Children's Comedy 1997
261, Drama 1997
262, Action 1997
263, Sci-Fi Thriller 1997
264, Action Thriller 1990
265, Action Adventure 1997
266,unknown unknown
267, Drama Romance 1997
268, Comedy 1997
269, Drama Sci-Fi Thriller 1997
270, Action Adventure Sci-Fi War 1997
271, Drama 1997
272, Action Crime Thriller 1995
273, Comedy Romance 1995
274, Drama Romance 1995
275, Drama Romance 1995
276, Drama 1995
277, Drama Romance 1996
278, Drama 1995
279, Drama Romance 1996
280, Action Thriller 1994
281, Drama 1996
282, Drama Romance 1996
283, Comedy Romance 1996
284, Drama 1996
285, Drama Romance War 1996
286, Drama 1996
287, Horror Thriller 1996
288, Drama Musical 1996
289, Comedy 1997
290, Mystery Thriller 1997
291, Drama 1997
292, Crime Drama 1997
293, Comedy 1997
294, Action Thriller 1997
295, Drama 1996
296, Drama 1997
297, Action Sci-Fi Thriller 1997
298, Crime Drama Film-Noir 1997
299, Action Thriller 1997
300, Comedy 1997
301, Crime Film-Noir Mystery Thriller 1997
302, Drama 1997
303, Adventure Children's 1996
304, Drama 1997
305, Drama Romance 1997
306, Crime Horror Mystery Thriller 1997
307, Children's Drama Fantasy 1997
308, Crime 1997
309, Drama 1997
310, Drama Romance Thriller 1997
311, Comedy Crime Drama Mystery 1997
312, Action Drama Romance 1997
313, Action Children's 1998
314, Drama Thriller 1998
315, Comedy Drama 1997
316, Drama 1993
317, Drama War 1993
318, Comedy Musical Romance 1996
319, Documentary 1996
320, Comedy 1996
321, Mystery Thriller 1997
322, Action Thriller 1997
323, Mystery 1997
324, Drama Thriller 1996
325, Action Drama War 1997
326, Crime Drama Mystery 1997
327, Action Mystery Romance Thriller 1997
328, Crime Drama Thriller 1998
329, Drama 1997
330, Adventure Thriller 1997
331, Crime Drama Thriller 1997
332, Mystery Thriller 1997
333, Action Crime Mystery 1997
334, Comedy 1997
335, Crime Thriller 1997
336, Comedy Drama Thriller 1997
337, Comedy 1997
338, Action Drama 1997
339, Drama 1997
340, Comedy 1997
341, Comedy Mystery 1997
342, Action Horror Sci-Fi 1997
343, Drama 1997
344, Comedy Drama 1997
345, Crime Drama 1997
346, Comedy Drama 1997
347, Crime Drama Thriller 1998
348, Action Thriller 1998
349, Action Mystery Thriller 1998
350, Horror 1998
351, Comedy Musical 1997
352, Action Horror Sci-Fi 1998
353, Comedy Romance 1998
354, Adventure Sci-Fi Thriller 1998
355, Drama Mystery Thriller 1994
356, Drama 1975
357, Action Adventure Sci-Fi Thriller 1997
358, Thriller 1997
359, Documentary 1997
360, Crime Thriller 1997
361, Action Comedy Musical 1998
362, Action 1995
363, Comedy 1995
364, Drama 1995
365, Drama 1995
366, Comedy 1995
367, Comedy 1996
368, Comedy 1996
369, Drama Thriller 1996
370, Drama Romance 1995
371, Comedy 1995
372, Action Adventure Sci-Fi 1995
373, Action Children's 1995
374, Drama 1995
375, Comedy 1994
376, Children's Comedy 1994
377, Drama 1994
378, Horror 1995
379, Action Adventure Sci-Fi 1994
380, Comedy Romance 1994
381, Comedy Drama 1994
382, Children's Comedy 1994
383, Comedy 1994
384, Action Adventure Comedy Romance 1994
385, Comedy 1993
386, Drama 1993
387, Action Comedy 1994
388, Adventure Children's 1994
389, Comedy 1993
390, Action Comedy 1993
391, Drama 1993
392, Comedy 1993
393, Comedy Mystery Romance 1994
394, Comedy 1993
395, Comedy Crime Horror 1994
396, Action 1993
397, Action Adventure Children's Sci-Fi 1993
398, Action Adventure Comedy 1993
399, Children's Comedy 1994
400, Comedy 1995
401, Comedy Romance Thriller 1990
402, Action Adventure Crime Drama 1989
403, Animation Children's 1940
404, Action Adventure Mystery 1996
405, Horror Thriller 1996
406, Comedy 1996
407, Animation Comedy Thriller 1995
408, Comedy Drama 1996
409, Comedy 1996
410, Comedy Fantasy Romance Sci-Fi 1996
411, Comedy 1996
412, Horror 1996
413, Comedy 1982
414, Children's Comedy Western 1975
415, Children's Drama 1957
416, Children's Drama 1961
417, Animation Children's Musical 1950
418, Children's Comedy Musical 1964
419, Animation Children's Musical 1951
420, Drama Romance 1996
421, Animation Children's Comedy 1996
422, Children's Drama Fantasy Sci-Fi 1982
423, Horror 1996
424, Comedy 1992
425, Action Animation Children's Sci-Fi Thriller War 1986
426, Drama 1962
427, Comedy 1971
428, Drama Sci-Fi 1951
429, Comedy War 1933
430, Action Adventure 1986
431, Animation Children's Musical 1940
432, Comedy 1989
433, Sci-Fi 1956
434, Action Comedy Western 1969
435, Horror 1981
436, Horror 1992
437, Horror 1983
438, Horror 1993
439, Horror 1982
440, Horror 1979
441, Horror 1990
442, Horror 1963
443, Horror Sci-Fi 1958
444, Horror 1945
445, Horror 1976
446, Horror 1976
447, Horror 1976
448, Action Adventure Sci-Fi 1979
449, Action Adventure Sci-Fi 1989
450, Comedy Musical Romance 1978
451, Action Horror 1978
452, Action Horror 1983
453, Drama 1996
454, Action 1996
455, Action Comedy 1997
456, Adventure Children's Drama 1997
457, Drama 1995
458, Drama 1995
459, Drama 1995
460, Drama 1995
461, Drama Romance 1992
462, Adventure 1994
463, Drama 1994
464, Adventure Children's Romance 1994
465, Thriller 1992
466, Drama 1993
467, Drama 1993
468, Drama 1993
469, Western 1993
470, Drama War 1996
471, Action Adventure Fantasy 1996
472, Animation Children's Musical 1996
473, Sci-Fi War 1963
474, Drama 1996
475, Comedy 1996
476, Children's Comedy 1996
477, Comedy Romance 1940
478, Mystery Thriller 1958
479, Comedy Thriller 1959
480, Comedy Drama 1960
481, Comedy Crime 1959
482, Drama Romance War 1942
483, Film-Noir Mystery 1941
484, Musical Romance 1964
485, Comedy Romance 1954
486, Comedy Romance 1953
487, Film-Noir 1950
488, Film-Noir Romance Thriller 1946
489, Comedy Romance Thriller 1955
490, Action Adventure 1938
491, Drama 1955
492, Mystery 1934
493, Comedy 1940
494, Adventure Comedy 1956
495, Drama 1946
496, Comedy 1938
497, Action Adventure Romance War 1951
498, Drama 1958
499, Adventure Children's 1996
500, Animation Children's Musical 1941
501, Comedy War 1971
502, Drama 1972
503, Crime Drama 1967
504, Mystery Thriller 1954
505, Drama 1955
506, Drama 1951
507, Drama 1996
508, Drama 1989
509, Action Drama Western 1954
510, Adventure War 1962
511, Comedy Drama Romance 1987
512, Mystery Thriller 1949
513, Comedy Romance 1977
514, Action Drama War 1981
515, Comedy 1983
516, Comedy Drama Romance 1979
517, Drama 1990
518, Adventure 1948
519, Adventure War 1963
520, Drama War 1978
521, Comedy Drama 1986
522, Comedy Drama 1967
523, Comedy 1940
524, Film-Noir Mystery 1946
525, Action Adventure Drama 1959
526, Drama 1982
527, Drama War 1984
528, Drama 1985
529, Adventure 1975
530, Drama Romance 1996
531, Romance 1996
532, Mystery 1996
533, Drama 1997
534, Comedy Romance 1997
535, Drama 1996
536, Drama 1991
537, Animation Children's Musical 1997
538, Children's Comedy 1997
539, Action 1995
540, Action Adventure 1995
541, Animation Children's Musical Romance 1995
542, Drama Musical 1995
543, Crime Drama Romance 1995
544, Comedy Romance 1995
545, Action Thriller 1996
546, Crime 1995
547, Children's Fantasy 1994
548, Drama Romance War 1995
549, Action Thriller 1995
550, Horror 1995
551, Sci-Fi 1995
552, Drama Romance 1995
553, Action Adventure 1995
554, Drama 1995
555, Western 1995
556, Drama Musical 1994
557, Drama Fantasy Thriller 1994
558, Drama Horror 1994
559, Adventure Children's Comedy Fantasy Romance Sci-Fi 1995
560, Drama Horror 1994
561, Action Adventure Western 1995
562, Horror 1995
563, Comedy Horror 1995
564, Horror Thriller 1995
565, Action Adventure Thriller 1994
566, Horror 1994
567, Action Romance Thriller 1994
568, Drama Horror 1994
569, Western 1994
570, Comedy Thriller 1993
571, Action Thriller 1994
572, Horror Sci-Fi Thriller 1993
573, Mystery Romance Thriller 1993
574, Comedy Western 1994
575, Action Adventure Crime 1993
576, Comedy Sci-Fi 1993
577, Action Sci-Fi 1993
578, Comedy 1993
579, Comedy Romance 1995
580, Drama Thriller 1993
581, Drama Romance 1993
582, Crime Thriller 1993
583, Children's Drama 1993
584, Comedy 1993
585, Action 1994
586, Drama Mystery 1993
587, Animation Children's Musical 1991
588, Western 1969
589, Action Horror Sci-Fi 1996
590, Drama Thriller 1996
591, Mystery Thriller 1995
592, War 1993
593, Drama Romance 1995
594, Thriller 1996
595, Animation Children's Musical 1996
596, Action Thriller 1996
597, Comedy Drama 1996
598, Action 1993
599, Children's 1996
600, Adventure War 1943
601, Musical Romance 1951
602, Mystery Thriller 1954
603, Comedy 1934
604, Musical 1944
605, Drama 1950
606, Romance Thriller 1940
607, Mystery Romance Thriller 1945
608, Comedy 1950
609, Musical 1958
610, Crime Film-Noir Mystery 1944
611, Drama 1937
612, Comedy 1936
613, Drama 1956
614, Thriller 1935
615, Horror Sci-Fi 1968
616, Drama 1930
617, Drama 1955
618, Drama Thriller 1996
619, Drama 1996
620, Western 1955
621, Adventure Children's 1960
622, Children's Comedy 1994
623, Animation Children's Musical 1945
624, Animation Children's 1963
625, Children's Drama 1949
626, Drama 1991
627, Crime Drama 1996
628, Comedy Musical 1982
629, Comedy Musical 1965
630, Action Drama Romance War 1992
631, Drama 1982
632, Drama 1938
633, Documentary 1996
634, Horror 1980
635, Action Adventure Sci-Fi Thriller 1981
636, Comedy Horror 1981
637, Drama 1982
638, Drama 1979
639, Drama 1989
640, Drama War 1957
641, Crime Drama Film-Noir 1990
642, Drama Romance 1994
643, Documentary 1988
644, Documentary 1990
645, Western 1969
646, Drama War 1985
647, Comedy Romance 1952
648, Crime Drama Thriller 1984
649, Drama 1957
650, Action Drama War 1989
651, Comedy Drama 1990
652, Crime Film-Noir Thriller 1958
653, Film-Noir Mystery Thriller 1974
654, Adventure Comedy Drama 1986
655, Crime Film-Noir Thriller 1931
656, Film-Noir Thriller 1962
657, Drama 1990
658, Comedy Mystery Thriller 1944
659, Drama 1991
660, Western 1952
661, Drama Romance 1980
662, Comedy 1979
663, Drama 1984
664, Action Horror Sci-Fi Thriller 1992
665, Horror 1974
666, Horror 1977
667, Action Horror 1981
668, Horror 1991
669, Horror Sci-Fi Thriller 1993
670, Horror 1935
671, Horror 1992
672, Film-Noir Thriller 1962
673, Horror 1982
674, Horror 1922
675, Drama 1996
676, Documentary 1996
677, Drama Thriller 1997
678, Action Adventure 1981
679, Action Adventure 1997
680, Horror 1997
681, Horror Mystery Thriller 1997
682, Comedy 1997
683, Action Thriller 1993
684, Action Thriller 1996
685, Action Drama 1993
686, Comedy War 1997
687, Comedy 1997
688, Action Thriller 1997
689, Drama War 1997
690, Film-Noir Sci-Fi Thriller 1998
691, Comedy Drama Romance 1995
692, Drama 1995
693, Romance 1995
694, Comedy Drama 1995
695, Drama Thriller 1996
696, Drama 1995
697, Drama 1994
698, Drama 1994
699, Comedy 1995
700, Documentary 1993
701, Comedy Romance 1994
702, Drama 1994
703, Drama Romance 1993
704, Musical Romance 1952
705, Horror 1996
706, Drama 1991
707, Drama 1989
708, Comedy Romance 1992
709, Comedy 1985
710, Drama 1996
711, Comedy Drama 1987
712, Drama 1995
713, Drama Romance 1995
714, Comedy Drama 1995
715, Drama Romance 1995
716, Drama Thriller 1996
717, Comedy 1995
718, Comedy War 1994
719, Action Adventure Drama Romance 1995
720, Comedy 1995
721, Comedy 1995
722, Comedy Drama 1995
723, Drama Romance 1995
724, Comedy 1994
725, Children's Drama 1995
726, Drama Romance 1994
727, Comedy Sci-Fi 1994
728, Drama 1994
729, Drama Romance 1994
730, Comedy Drama Romance 1994
731, Comedy Romance 1993
732, Drama Romance 1994
733, Comedy 1993
734, Drama 1993
735, Drama Romance 1993
736, Comedy Drama 1994
737, Comedy Romance 1994
738, Comedy Romance 1990
739, Drama Romance 1996
740, Drama Thriller 1995
741, Drama Thriller 1996
742, Action Thriller 1996
743, Drama War 1996
744, Comedy 1972
745, Comedy 1985
746, Comedy Romance 1993
747, Action Romance Thriller 1997
748, Comedy Romance 1997
749, Drama 1997
750, Action Romance Thriller 1997
751, Action Thriller 1998
752, Drama 1994
753, Crime Thriller 1997
754, Action Adventure Children's Fantasy Sci-Fi 1995
755, Comedy 1995
756, Documentary 1995
757, Sci-Fi Thriller 1996
758, Action 1995
759, Sci-Fi 1995
760, Action Thriller 1995
761, Drama 1996
762, Comedy 1996
763, Comedy Romance 1996
764, Comedy Romance 1992
765, Documentary 1995
766, Horror 1995
767, Adventure Children's 1995
768, Action Adventure Mystery Sci-Fi 1995
769, Crime Film-Noir Mystery Thriller 1995
770, Action Sci-Fi Thriller 1995
771, Drama 1995
772, Thriller 1994
773, Horror 1995
774, Comedy Drama Romance 1995
775, Drama 1995
776, Horror 1995
777, Comedy Drama Romance 1995
778, Action 1994
779, Comedy 1994
780, Comedy Romance 1995
781, Drama 1994
782, Comedy Romance 1994
783, Drama Horror 1993
784, Comedy Romance 1994
785, Comedy Romance 1995
786, Comedy Drama 1995
787, Horror Thriller 1994
788, Comedy Drama 1995
789, Comedy 1995
790, Children's 1995
791, Comedy 1994
792, Comedy 1994
793, Drama Romance 1994
794, Children's Comedy 1994
795, Comedy Romance 1994
796, Action Sci-Fi 1994
797, Action 1995
798, Drama 1995
799, Horror Thriller 1995
800, Comedy 1994
801, Action Adventure Crime Thriller 1993
802, Action Drama War 1993
803, Comedy 1994
804, Comedy Mystery 1993
805, Action Crime Drama 1993
806, Drama 1993
807, Action Drama 1993
808, Action Drama Mystery 1993
809, Action 1994
810, Documentary 1993
811, Adventure Children's 1994
812, Documentary 1995
813, Documentary 1994
814, Drama Romance 1996
815, Horror 1995
816, Drama 1995
817, Comedy 1996
818, Comedy 1996
819, Adventure Animation Children's Comedy Fantasy 1996
820, Comedy Romance 1996
821, Drama 1968
822, Crime Film-Noir Thriller 1996
823, Comedy 1996
824, Action Sci-Fi Thriller 1996
825, Adventure 1996
826, Action Adventure Thriller 1996
827, Adventure Children's 1996
828, Action Adventure 1996
829, Action Mystery Thriller 1995
830, Action Adventure Sci-Fi Thriller 1996
831, Children's Drama Fantasy 1996
832, Action 1996
833, Horror Thriller 1995
834, Comedy Musical Romance 1934
835, Comedy Romance 1939
836, Drama 1941
837, Action 1987
838, Horror Thriller 1995
839, Action Drama Western 1996
840, Action Thriller 1996
841, Children's Comedy Drama 1960
842, Children's Comedy 1959
843, Crime 1996
844, Comedy 1996
845, Drama Romance 1996
846, Documentary Drama 1996
847, Film-Noir Thriller 1944
848, Action Romance 1990
849, Documentary 1996
850, Drama 1966
851, Drama Thriller 1996
852, Comedy Horror 1992
853, Comedy Horror 1987
854, Action Drama Mystery Romance Thriller 1981
855, Comedy Drama 1991
856, Documentary 1995
857, Horror 1996
858, Comedy Horror 1986
859, Horror Thriller 1987
860, Horror 1986
861, Adventure Children's Comedy 1996
862, Drama 1970
863, Comedy 1996
864, Drama 1997
865, Comedy Romance 1996
866, Drama 1996
867, Drama 1996
868, Comedy Romance 1997
869, Romance 1997
870, Comedy 1997
871, Romance 1997
872, Comedy Romance 1997
873, Drama 1997
874, Drama Romance 1997
875, Action Comedy 1997
876, Adventure Romance 1997
877, Children's Comedy Mystery 1997
878, Action Thriller War 1997
879, Drama 1997
880, Action Comedy 1997
881, Drama 1997
882, Drama 1997
883, Documentary 1997
884, Horror 1998
885, Romance Thriller 1997
886, Drama 1997
887, Drama 1997
888, Romance 1997
889, Action Adventure 1997
890, Drama War 1997
891, Children's Comedy Fantasy 1997
892, Comedy 1997
893, Children's Comedy 1997
894, Horror Thriller 1997
895, Drama 1997
896, Action Adventure Sci-Fi 1995
897, Drama 1997
898, Drama 1997
899, Drama 1997
900, Comedy 1997
901, Comedy Crime Mystery Thriller 1998
902, Drama Romance 1997
903, Comedy Drama 1997
904, Drama Romance 1998
905, Drama Romance 1997
906, Comedy 1998
907, Comedy 1998
908, Drama 1998
909, Drama 1997
910, Crime Drama 1998
911, Action Thriller 1998
912, Comedy 1997
913, Crime Drama Mystery Thriller 1998
914, Drama 1998
915, Action Sci-Fi Thriller 1998
916, Action Drama Thriller 1998
917, Romance 1998
918, Adventure Sci-Fi 1995
919, Drama 1995
920, Drama Romance 1993
921, Western 1995
922, Drama 1991
923, Adventure Drama 1996
924, Sci-Fi Thriller 1996
925, Comedy 1996
926, Drama 1995
927, Drama Horror 1996
928, Children's Comedy 1996
929, Action Adventure Thriller 1996
930, Sci-Fi Thriller 1996
931, Children's Comedy 1996
932, Drama 1996
933, Drama 1996
934, Drama War 1997
935, Comedy Drama Romance 1996
936, Drama 1997
937, Comedy Romance 1997
938, Drama Thriller 1995
939, Comedy 1994
940, Comedy Drama 1994
941, Drama 1993
942, Thriller 1994
943, Comedy Drama War 1994
944, Comedy Mystery Romance Thriller 1963
945, Animation Children's 1981
946, Adventure Romance 1988
947, Comedy Romance 1997
948, Drama Romance 1995
949, Drama 1995
950, Adventure Children's Fantasy 1995
951, Comedy 1995
952, Comedy Drama 1995
953, Documentary 1995
954, Drama Romance 1995
955, Drama 1994
956, Comedy 1992
957, Drama 1994
958, Comedy 1993
959, Drama 1993
960, Drama 1993
961, Drama 1993
962, Drama Thriller 1993
963, Comedy Drama 1995
964, Comedy Musical 1957
965, Romance 1957
966, Drama 1936
967, Musical 1949
968, Animation Children's 1968
969, Comedy 1991
970, Comedy War 1991
971, Drama 1992
972, Documentary 1995
973, Drama Thriller 1996
974, Thriller 1996
975, Action Sci-Fi Thriller 1996
976, Action 1996
977, Mystery Thriller 1996
978, Drama Thriller 1996
979, Drama 1996
980, Drama 1997
981, Action Adventure Thriller 1996
982, Thriller 1996
983, Thriller 1997
984, Drama 1997
985, Thriller 1997
986, Thriller 1997
987, Comedy Romance 1997
988, Animation Children's Musical 1997
989, Drama Romance 1997
990, Crime 1997
991, Comedy Thriller 1996
992, Adventure Animation Children's Comedy Musical 1997
993, Drama 1997
994, Comedy 1997
995, Children's Comedy 1995
996, Comedy 1995
997, Comedy 1994
998, Comedy 1994
999, Comedy Western 1994
1000, Comedy 1996
1001, Comedy 1997
1002, Children's Comedy Mystery 1997
1003, Drama Western 1993
1004, Drama 1991
1005, Drama Sci-Fi 1991
1006, Comedy 1996
1007, Drama 1996
1008, Drama 1996
1009, Drama 1996
1010, Crime 1996
1011, Comedy Drama 1997
1012, Action Adventure Thriller 1997
1013, Comedy 1997
1014, Children's Drama 1997
1015, Action Adventure Thriller 1997
1016, Drama 1996
1017, Drama 1990
1018, Action Thriller 1989
1019, Mystery Thriller 1944
1020, Drama 1963
1021, Documentary 1997
1022, Comedy 1997
1023, Romance 1997
1024, Action Drama Thriller 1997
1025, Comedy Drama 1997
1026, Action 1995
1027, Comedy Romance 1995
1028, Comedy 1995
1029, Comedy 1993
1030, Adventure Children's 1994
1031, Children's Comedy 1994
1032, Adventure Children's 1996
1033, Action Adventure 1996
1034, Comedy 1993
1035, Comedy Fantasy 1991
1036, Comedy Musical Romance 1982
1037, Thriller 1997
1038, Drama 1996
1039, Comedy Romance 1996
1040, Comedy Romance 1995
1041, Mystery Thriller 1995
1042, Comedy 1995
1043, Comedy Drama 1994
1044, Drama 1993
1045, Thriller 1993
1046, Comedy 1996
1047, Comedy Romance 1996
1048, Comedy 1996
1049, Drama Romance 1947
1050, Comedy 1996
1051, Comedy Horror 1995
1052, Drama 1995
1053, Comedy 1996
1054, Drama 1994
1055, Horror 1992
1056, Comedy 1996
1057, Adventure Drama 1994
1058, Comedy 1996
1059, Adventure Children's 1996
1060, Comedy Drama 1996
1061, Drama 1997
1062, Children's Drama 1995
1063, Crime Film-Noir 1947
1064, Documentary War 1983
1065, Animation Children's 1995
1066, Comedy 1996
1067, Drama 1995
1068, Crime Drama Thriller 1994
1069, Comedy 1995
1070, Comedy 1995
1071, Comedy Romance 1995
1072, Thriller 1994
1073, Comedy Drama 1994
1074, Drama 1994
1075, Action Adventure Animation Children's Fantasy 1994
1076, Thriller 1994
1077, Animation Children's 1988
1078, Comedy Musical 1996
1079, Comedy 1994
1080, Crime 1996
1081, Drama 1996
1082, Crime Thriller 1996
1083, Documentary 1995
1084, Drama Romance 1996
1085, Drama 1995
1086, Action 1995
1087, Action 1997
1088, Action Romance Thriller 1997
1089, Thriller 1993
1090, Adventure Animation Children's Musical 1977
1091, Comedy 1996
1092, Comedy 1995
1093, Comedy 1996
1094, Comedy 1996
1095, Romance 1997
1096, Drama 1995
1097, Comedy 1996
1098, Drama 1994
1099, Comedy Drama Romance 1994
1100, Drama Mystery 1993
1101, Comedy Romance 1996
1102, Comedy Drama 1990
1103, Comedy Crime Drama 1992
1104, Action Adventure Thriller 1998
1105, Crime Drama 1998
1106, Drama 1995
1107, Drama 1995
1108, Drama Thriller 1994
1109, Action Comedy Musical Sci-Fi 1995
1110, Drama 1994
1111, Drama 1994
1112, Drama 1994
1113, Comedy 1996
1114, Comedy Drama Romance 1996
1115, Adventure 1940
1116, Drama 1996
1117, Comedy 1978
1118, Drama Romance 1987
1119, Comedy 1996
1120, Drama Musical 1964
